contrast	result_id	doc_name	pair_1	pair_2	pair_3	pair_4	interaction_term
Chow.Ford.good.bad	observed	compiled_articles14.txt	-0.0569	0.0378	-0.0217	-0.0025	-0.07550000000000001
Chow.Ford.good.bad	boot_1	compiled_articles14.txt	0.0	0.1042	0.0	0.1042	0.0
Chow.Ford.good.bad	boot_2	compiled_articles14.txt	0.0212	0.0135	0.0671	0.0484	-0.01100000000000001
Chow.Ford.good.bad	boot_3	compiled_articles14.txt	0.0671	0.0632	0.0671	0.0632	0.0
Chow.Ford.good.bad	boot_4	compiled_articles14.txt	0.0671	0.1593	0.0494	0.1611	0.01949999999999999
Chow.Ford.good.bad	boot_5	compiled_articles14.txt	-0.0076	0.0501	0.0671	0.0507	-0.0741
Chow.Ford.good.bad	boot_6	compiled_articles14.txt	-0.0045	0.1025	-0.0264	0.0679	-0.012700000000000003
Chow.Ford.good.bad	boot_7	compiled_articles14.txt	0.0	0.0199	0.0	0.0157	-0.004200000000000002
Chow.Ford.good.bad	boot_8	compiled_articles14.txt	-0.0796	-0.0614	-0.0365	-0.0836	-0.0653
Chow.Ford.good.bad	boot_9	compiled_articles14.txt	0.0427	0.0836	0.0604	0.0397	-0.0616
Chow.Ford.good.bad	boot_10	compiled_articles14.txt	0.0276	0.0721	0.0276	0.0721	0.0
Chow.Ford.good.bad	boot_11	compiled_articles14.txt	0.0	0.1826	0.0	0.1826	0.0
Chow.Ford.good.bad	boot_12	compiled_articles14.txt	-0.1092	-0.0349	-0.0285	-0.0385	-0.08430000000000001
Chow.Ford.good.bad	boot_13	compiled_articles14.txt	0.0	0.0217	0.0	0.0	-0.0217
Chow.Ford.good.bad	boot_14	compiled_articles14.txt	-0.0569	0.0315	-0.0045	0.0477	-0.0362
Chow.Ford.good.bad	boot_15	compiled_articles14.txt	-0.1015	-0.1412	-0.0181	0.0794	0.1372
Chow.Ford.good.bad	boot_16	compiled_articles14.txt	0.0	0.0	0.0016	-0.0079	-0.009500000000000001
Chow.Ford.good.bad	boot_17	compiled_articles14.txt	0.0212	-0.1013	0.0494	-0.1239	-0.0508
Chow.Ford.good.bad	boot_18	compiled_articles14.txt	-0.0931	-0.0382	-0.0686	-0.1114	-0.09770000000000001
Chow.Ford.good.bad	boot_19	compiled_articles14.txt	-0.0931	-0.0373	-0.0625	-0.0326	-0.0259
Chow.Ford.good.bad	boot_20	compiled_articles14.txt	-0.0792	-0.0585	-0.0686	-0.0092	0.03869999999999999
Chow.Ford.good.bad	boot_21	compiled_articles14.txt	-0.0045	-0.0157	-0.0154	-0.0218	0.004799999999999999
Chow.Ford.good.bad	boot_22	compiled_articles14.txt	-0.0625	0.0983	-0.0548	0.0209	-0.0851
Chow.Ford.good.bad	boot_23	compiled_articles14.txt	-0.0045	-0.0466	-0.0154	-0.0832	-0.025699999999999987
Chow.Ford.good.bad	boot_24	compiled_articles14.txt	0.0	0.0108	0.0	0.1552	0.1444
Chow.Ford.good.bad	boot_25	compiled_articles14.txt	-0.0762	-0.051	-0.0459	-0.0949	-0.0742
Chow.Ford.good.bad	boot_26	compiled_articles14.txt	-0.0881	0.035	-0.0625	0.0551	-0.005499999999999998
Chow.Ford.good.bad	boot_27	compiled_articles14.txt	-0.0796	-0.0442	-0.0365	-0.0363	-0.0352
Chow.Ford.good.bad	boot_28	compiled_articles14.txt	-0.1031	0.0743	0.0	0.0	-0.1774
Chow.Ford.good.bad	boot_29	compiled_articles14.txt	-0.1092	-0.0256	0.0	0.0	-0.08360000000000001
Chow.Ford.good.bad	boot_30	compiled_articles14.txt	-0.0668	0.0261	-0.0433	0.0483	-0.0012999999999999956
Chow.Ford.good.bad	boot_31	compiled_articles14.txt	0.0	0.0533	0.0	0.0636	0.010300000000000004
Chow.Ford.good.bad	boot_32	compiled_articles14.txt	-0.0328	0.1061	-0.0328	0.1061	0.0
Chow.Ford.good.bad	boot_33	compiled_articles14.txt	-0.0569	0.1273	-0.0045	0.1691	-0.010599999999999998
Chow.Ford.good.bad	boot_34	compiled_articles14.txt	-0.0762	-0.0885	-0.0328	-0.0465	-0.0014000000000000054
Chow.Ford.good.bad	boot_35	compiled_articles14.txt	-0.0973	0.0125	0.0	0.0	-0.1098
Chow.Ford.good.bad	boot_36	compiled_articles14.txt	0.0	0.0	-0.0285	-0.0011	0.0274
Chow.Ford.good.bad	boot_37	compiled_articles14.txt	0.0671	0.0179	0.0636	0.0116	-0.002799999999999997
Chow.Ford.good.bad	boot_38	compiled_articles14.txt	-0.0762	0.1808	-0.0459	0.1005	-0.1106
Chow.Ford.good.bad	boot_39	compiled_articles14.txt	0.0	0.0538	0.0	0.0122	-0.0416
Chow.Ford.good.bad	boot_40	compiled_articles14.txt	-0.0915	-0.0508	-0.0625	0.0493	0.0711
Chow.Ford.good.bad	boot_41	compiled_articles14.txt	-0.0973	0.0279	-0.0358	-0.0169	-0.1063
Chow.Ford.good.bad	boot_42	compiled_articles14.txt	-0.0045	-0.0957	-0.0282	-0.2276	-0.1082
Chow.Ford.good.bad	boot_43	compiled_articles14.txt	-0.1031	-0.1132	-0.0345	-0.0299	0.014700000000000001
Chow.Ford.good.bad	boot_44	compiled_articles14.txt	-0.0928	0.0375	-0.0328	0.1182	0.020699999999999996
Chow.Ford.good.bad	boot_45	compiled_articles14.txt	0.0	0.0	0.0	0.0	0.0
Chow.Ford.good.bad	boot_46	compiled_articles14.txt	-0.0746	0.0601	-0.0625	0.0765	0.004300000000000012
Chow.Ford.good.bad	boot_47	compiled_articles14.txt	0.0671	0.0989	0.0331	0.0013	-0.06359999999999999
Chow.Ford.good.bad	boot_48	compiled_articles14.txt	-0.0645	0.0217	0.0	0.0	-0.0862
Chow.Ford.good.bad	boot_49	compiled_articles14.txt	-0.0796	-0.065	-0.0365	-0.1376	-0.1157
Chow.Ford.good.bad	boot_50	compiled_articles14.txt	-0.0402	0.0917	-0.0038	0.1152	-0.012900000000000023
Chow.Ford.good.bad	boot_51	compiled_articles14.txt	0.0671	-0.074	0.0671	-0.074	0.0
Chow.Ford.good.bad	boot_52	compiled_articles14.txt	-0.0796	0.0991	-0.0365	-0.0929	-0.23509999999999998
Chow.Ford.good.bad	boot_53	compiled_articles14.txt	0.0	-0.0354	0.0	-0.012	0.0234
Chow.Ford.good.bad	boot_54	compiled_articles14.txt	-0.0881	0.0093	-0.0625	0.0344	-0.0005000000000000004
Chow.Ford.good.bad	boot_55	compiled_articles14.txt	-0.0809	0.1106	-0.0045	0.1576	-0.02940000000000001
Chow.Ford.good.bad	boot_56	compiled_articles14.txt	-0.0746	-0.0072	-0.0625	0.0091	0.004199999999999999
Chow.Ford.good.bad	boot_57	compiled_articles14.txt	-0.0076	0.051	0.0243	-0.0285	-0.1114
Chow.Ford.good.bad	boot_58	compiled_articles14.txt	0.0	0.0	-0.0365	-0.1838	-0.1473
Chow.Ford.good.bad	boot_59	compiled_articles14.txt	0.0	0.0	0.0	0.0	0.0
Chow.Ford.good.bad	boot_60	compiled_articles14.txt	0.0212	-0.059	0.04	-0.0581	-0.017900000000000006
Chow.Ford.good.bad	boot_61	compiled_articles14.txt	0.0671	-0.0251	0.0671	-0.0251	-3.469446951953614e-18
Chow.Ford.good.bad	boot_62	compiled_articles14.txt	-0.0045	-0.1156	-0.0045	-0.1156	0.0
Chow.Ford.good.bad	boot_63	compiled_articles14.txt	-0.0349	-0.0796	-0.0217	-0.1342	-0.06780000000000001
Chow.Ford.good.bad	boot_64	compiled_articles14.txt	-0.0569	-0.0098	-0.0264	0.0419	0.021199999999999997
Chow.Ford.good.bad	boot_65	compiled_articles14.txt	-0.0257	0.053	-0.0045	0.0559	-0.01829999999999999
Chow.Ford.good.bad	boot_66	compiled_articles14.txt	0.0	0.0	-0.0285	-0.0966	-0.06810000000000001
Chow.Ford.good.bad	boot_67	compiled_articles14.txt	-0.1031	0.033	-0.0345	-0.0633	-0.1649
Chow.Ford.good.bad	boot_68	compiled_articles14.txt	-0.1002	0.0326	-0.0433	0.1108	0.0213
Chow.Ford.good.bad	boot_69	compiled_articles14.txt	-0.0796	0.0083	-0.0365	0.0541	0.002699999999999994
Chow.Ford.good.bad	boot_70	compiled_articles14.txt	-0.0045	-0.0227	-0.0264	-0.0502	-0.005600000000000001
Chow.Ford.good.bad	boot_71	compiled_articles14.txt	0.0	-0.0387	0.0	-0.0064	0.032299999999999995
